inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_6, 192, 30, 71, 31, 263, 61, 1559.78, 53586.12, 0.03, 34.35, 2977.01, 0.47
values_76, 179, 30, 60, 21, 239, 51, 1355.71, 58101.84, 0.02, 42.86, 3227.88, 0.50
values_18, 199, 30, 71, 32, 270, 62, 1607.63, 53504.04, 0.03, 33.28, 2972.45, 0.47
values_16, 194, 30, 70, 28, 264, 58, 1546.51, 57994.01, 0.03, 37.50, 3221.89, 0.50
values_40, 218, 30, 85, 44, 303, 74, 1881.46, 54519.71, 0.03, 28.98, 3028.87, 0.48
values_2, 209, 30, 83, 41, 292, 71, 1795.73, 54528.76, 0.03, 30.37, 3029.38, 0.48
values_60, 212, 30, 82, 41, 294, 71, 1808.03, 54240.77, 0.03, 30, 3013.38, 0.48
values_99, 214, 30, 85, 42, 299, 72, 1844.81, 56003.09, 0.03, 30.36, 3111.28, 0.49
values_48, 208, 30, 79, 37, 287, 67, 1740.97, 55758.02, 0.03, 32.03, 3097.67, 0.49
values_69, 199, 30, 75, 35, 274, 65, 1650.13, 53039.85, 0.03, 32.14, 2946.66, 0.47
values_46, 205, 30, 78, 37, 283, 67, 1716.70, 54284.94, 0.03, 31.62, 3015.83, 0.48
values_24, 205, 30, 80, 38, 285, 68, 1734.93, 54787.17, 0.03, 31.58, 3043.73, 0.48
values_95, 181, 30, 61, 22, 242, 52, 1379.51, 57374.93, 0.02, 41.59, 3187.50, 0.50
values_42, 187, 30, 67, 28, 254, 58, 1487.93, 53405.96, 0.03, 35.89, 2967.00, 0.47
values_37, 203, 30, 76, 35, 279, 65, 1680.24, 54727.84, 0.03, 32.57, 3040.44, 0.48
values_10, 205, 30, 76, 35, 281, 65, 1692.29, 55120.15, 0.03, 32.57, 3062.23, 0.48
values_67, 216, 30, 85, 40, 301, 70, 1844.91, 58806.64, 0.03, 31.88, 3267.04, 0.50
values_35, 187, 30, 66, 27, 253, 57, 1475.72, 54109.78, 0.03, 36.67, 3006.10, 0.48
values_30, 185, 30, 64, 25, 249, 55, 1439.56, 55279.05, 0.03, 38.40, 3071.06, 0.48
values_4, 179, 30, 62, 23, 241, 53, 1380.43, 55817.34, 0.02, 40.43, 3100.96, 0.49
